id,item_id,dept_id,cat_id,store_id,state_id,ADI,CV2,demand_regime
FOODS_3_086_CA_1_validation,FOODS_3_086,FOODS_3,FOODS,CA_1,CA,1.169315403422983,0.6703741574051271,Erratic
FOODS_3_295_TX_1_validation,FOODS_3_295,FOODS_3,FOODS,TX_1,TX,1.2039018250471996,0.596458721031619,Erratic
FOODS_3_295_WI_1_validation,FOODS_3_295,FOODS_3,FOODS,WI_1,WI,1.1986215538847118,0.5449114836507765,Erratic
FOODS_3_319_CA_1_validation,FOODS_3_319,FOODS_3,FOODS,CA_1,CA,1.2270686337395766,0.5674929547636558,Erratic
FOODS_3_319_TX_1_validation,FOODS_3_319,FOODS_3,FOODS,TX_1,TX,1.2978290366350067,0.8457346352032676,Erratic
FOODS_3_319_WI_1_validation,FOODS_3_319,FOODS_3,FOODS,WI_1,WI,1.248694516971279,0.7062962375438785,Erratic
FOODS_3_376_CA_1_validation,FOODS_3_376,FOODS_3,FOODS,CA_1,CA,1.1407274895646988,0.7370916828324036,Erratic
FOODS_3_376_TX_1_validation,FOODS_3_376,FOODS_3,FOODS,TX_1,TX,1.163625304136253,0.7687146772145849,Erratic
FOODS_3_404_CA_1_validation,FOODS_3_404,FOODS_3,FOODS,CA_1,CA,1.23738680465718,0.7144821240959229,Erratic
FOODS_3_406_CA_1_validation,FOODS_3_406,FOODS_3,FOODS,CA_1,CA,1.1629179331306991,0.5877609151926708,Erratic
FOODS_3_462_TX_1_validation,FOODS_3_462,FOODS_3,FOODS,TX_1,TX,1.0820135746606334,0.5575283865966189,Erratic
FOODS_3_501_WI_1_validation,FOODS_3_501,FOODS_3,FOODS,WI_1,WI,1.192643391521197,0.617133301360527,Erratic
FOODS_3_541_CA_1_validation,FOODS_3_541,FOODS_3,FOODS,CA_1,CA,1.255249343832021,0.6046925711787529,Erratic
FOODS_3_635_CA_1_validation,FOODS_3_635,FOODS_3,FOODS,CA_1,CA,1.3075871496924127,0.6199874761000582,Erratic
FOODS_3_681_CA_1_validation,FOODS_3_681,FOODS_3,FOODS,CA_1,CA,1.1032295271049597,0.7451323235620232,Erratic
FOODS_3_681_TX_1_validation,FOODS_3_681,FOODS_3,FOODS,TX_1,TX,1.1174065420560748,0.7179823384090387,Erratic
FOODS_3_702_CA_1_validation,FOODS_3_702,FOODS_3,FOODS,CA_1,CA,1.0580752212389382,0.7387150051782126,Erratic
FOODS_3_752_TX_1_validation,FOODS_3_752,FOODS_3,FOODS,TX_1,TX,1.303133514986376,0.9725565064310476,Erratic
FOODS_3_785_CA_1_validation,FOODS_3_785,FOODS_3,FOODS,CA_1,CA,1.1537997587454765,2.629648182563526,Erratic
FOODS_3_808_CA_1_validation,FOODS_3_808,FOODS_3,FOODS,CA_1,CA,1.2519633507853405,0.6186290748040806,Erratic
FOODS_3_808_TX_1_validation,FOODS_3_808,FOODS_3,FOODS,TX_1,TX,1.250326797385621,0.757571104482153,Erratic
HOBBIES_1_178_CA_1_validation,HOBBIES_1_178,HOBBIES_1,HOBBIES,CA_1,CA,1.3138736263736264,0.8233384260978001,Erratic
HOBBIES_1_254_CA_1_validation,HOBBIES_1_254,HOBBIES_1,HOBBIES,CA_1,CA,1.1407274895646988,0.9869028811081928,Erratic
